Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,1994,R,3000000,9.3,Frank Darabont,142,Epic
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,1972,R,2100000,9.2,Francis Ford Coppola,175,Epic
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,2008,PG-13,3000000,9.0,Christopher Nolan,152,Action Epic
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,1974,R,1400000,9.0,Francis Ford Coppola,202,Epic
12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,1957,Approved,902000,9.0,Sidney Lumet,96,Legal Drama
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6,2003,PG-13,2000000,9.0,Peter Jackson,201,Adventure Epic
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7,1993,R,1500000,9.0,Steven Spielberg,195,Docudrama
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,1994,R,2300000,8.9,Quentin Tarantino,154,Dark Comedy
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,2001,PG-13,2100000,8.9,Peter Jackson,178,Adventure Epic
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,1966,R,837000,8.8,Sergio Leone,178,Adventure Epic
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,1994,PG-13,2300000,8.8,Robert Zemeckis,142,Epic
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,2002,PG-13,1800000,8.8,Peter Jackson,179,Adventure Epic
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,1999,R,2400000,8.8,David Fincher,139,Psychological Drama
Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,2010,PG-13,2600000,8.8,Christopher Nolan,148,Action Epic
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15,1980,PG,1400000,8.7,Irvin Kershner,124,Action Epic
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,1999,R,2100000,8.7,Lana Wachowski,136,Action Epic
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17,1990,R,1300000,8.7,Martin Scorsese,145,Docudrama
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18,1975,R,1100000,8.7,Milos Forman,133,Medical Drama
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_19,2014,PG-13,2200000,8.7,Christopher Nolan,169,Adventure Epic
Se7en,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20,1995,R,1900000,8.6,David Fincher,127,Cop Drama
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,1946,PG,519000,8.6,Frank Capra,130,Feel-Good Romance
