Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
L.A. Confidential,https://www.rottentomatoes.com/m/la_confidential,1997,R,100000,99,94,Crime,Curtis Hanson,136
The Godfather,https://www.rottentomatoes.com/m/the_godfather,1972,R,250000,97,98,Crime,Francis Ford Coppola,177
Casablanca,https://www.rottentomatoes.com/m/1003707-casablanca,1943,PG,250000,99,95,Drama,Michael Curtiz,102
Seven Samurai,https://www.rottentomatoes.com/m/seven_samurai_1956,1956,Not Rated,50000,100,97,Action,Akira Kurosawa,208
Parasite,https://www.rottentomatoes.com/m/parasite_2019,2019,R,5000,99,90,Comedy,Bong Joon Ho,132
Schindler's List,https://www.rottentomatoes.com/m/schindlers_list,1993,R,250000,98,97,History,Steven Spielberg,195
Top Gun: Maverick,https://www.rottentomatoes.com/m/top_gun_maverick,2022,PG-13,50000,96,99,Action,Joseph Kosinski,131
Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2,1999,G,250000,100,87,Kids & Family,Ash Brannon,92
Chinatown,https://www.rottentomatoes.com/m/chinatown,1974,R,50000,98,93,Crime,Roman Polanski,131
On the Waterfront,https://www.rottentomatoes.com/m/on_the_waterfront,1954,Not Rated,50000,99,95,Drama,Elia Kazan,108
The Battle of Algiers,https://www.rottentomatoes.com/m/the_battle_of_algiers,1967,Not Rated,10000,99,95,War,Gillo Pontecorvo,125
Toy Story,https://www.rottentomatoes.com/m/toy_story,1995,G,250000,100,92,Kids & Family,John Lasseter,80
Rear Window,https://www.rottentomatoes.com/m/1017289-rear_window,1954,PG,100000,98,95,Mystery & Thriller,Alfred Hitchcock,112
Modern Times,https://www.rottentomatoes.com/m/modern_times,1936,G,25000,98,95,Comedy,Charlie Chaplin,89
How to Train Your Dragon,https://www.rottentomatoes.com/m/how_to_train_your_dragon,2010,PG,250000,99,91,Kids & Family,Christopher Sanders,98
All About Eve,https://www.rottentomatoes.com/m/1000626-all_about_eve,1950,Not Rated,25000,99,94,Drama,Joseph L. Mankiewicz,138
Spirited Away,https://www.rottentomatoes.com/m/spirited_away,2002,PG,250000,96,96,Fantasy,Hayao Miyazaki,125
Up,https://www.rottentomatoes.com/m/up,2009,PG,250000,98,90,Kids & Family,Pete Docter,96
The Third Man,https://www.rottentomatoes.com/m/the_third_man,1949,Not Rated,50000,99,93,Mystery & Thriller,Carol Reed,104
Spotlight,https://www.rottentomatoes.com/m/spotlight_2015,2015,R,50000,97,93,Drama,Tom McCarthy,128
Spider-Man: Into the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,2018,PG,25000,97,94,Kids & Family,Bob Persichetti,117
The Philadelphia Story,https://www.rottentomatoes.com/m/philadelphia_story,1940,Not Rated,25000,100,93,Romance,George Cukor,112
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo,2003,G,250000,99,86,Kids & Family,Andrew Stanton,100
Singin' in the Rain,https://www.rottentomatoes.com/m/singin_in_the_rain,1952,G,100000,100,95,Musical,Stanley Donen,102
12 Angry Men,https://www.rottentomatoes.com/m/1000013_12_angry_men,1957,Not Rated,100000,100,97,Drama,Sidney Lumet,95
Toy Story 3,https://www.rottentomatoes.com/m/toy_story_3,2010,G,250000,98,90,Kids & Family,Lee Unkrich,102
Sunset Boulevard,https://www.rottentomatoes.com/m/sunset_boulevard,1950,Not Rated,50000,98,94,Drama,Billy Wilder,110
Coco,https://www.rottentomatoes.com/m/coco_2017,2017,PG,25000,97,94,Kids & Family,Lee Unkrich,109
